uniqueplayId,QB_Flip,end_too_far,perc_tackle_lt_1.5,perc_tackl_end_facing,End_dist_travel,Mean_end_speed
202109090097,0.0,0,0.5789473684210527,0.42105263157894735,13.31,3.191315789473684
202109090097,1.0,0,0.7105263157894737,0.05263157894736842,11.74,3.0736842105263156
202109120163,0.0,0,0.5925925925925926,0.1111111111111111,8.49,3.1674074074074072
202109120163,1.0,0,0.5555555555555556,0.2962962962962963,7.51,2.728888888888889
202109120288,0.0,0,0.7391304347826086,0.08695652173913043,6.77,2.6847826086956523
202109120288,1.0,0,0.5217391304347826,0.21739130434782608,3.2800000000000002,1.3517391304347826
202109120578,0.0,0,0.9230769230769231,0.0,7.48,2.92
202109120578,1.0,0,0.8076923076923077,0.6538461538461539,5.58,2.063076923076923
202109120676,0.0,0,0.46153846153846156,0.34615384615384615,6.8999999999999995,2.5703846153846155
202109120676,1.0,0,0.5,0.6153846153846154,8.08,3.096538461538462
202109120776,0.0,0,0.78125,0.25,8.6,2.5590625
202109120776,1.0,0,0.28125,0.46875,6.65,2.1521875
202109120856,0.0,0,1.0,0.3333333333333333,6.04,1.9036666666666666
202109120856,1.0,0,1.0,0.3,1.14,0.389
202109120885,0.0,0,0.72,0.6,6.83,2.7872000000000003
202109120885,1.0,0,0.48,0.8,9.59,3.7264
202109120976,0.0,0,0.7083333333333334,0.4166666666666667,8.84,3.56875
202109120976,1.0,0,0.7916666666666666,0.875,7.19,2.8966666666666665
202109121176,0.0,0,0.6,0.2571428571428571,10.14,2.8814285714285712
202109121176,1.0,0,0.4857142857142857,0.2857142857142857,14.83,4.260857142857143
202109121284,0.0,0,0.5217391304347826,0.9130434782608695,5.61,2.4591304347826086
202109121284,1.0,0,0.6521739130434783,0.5652173913043478,6.77,3.035217391304348
202109121369,0.0,0,0.5185185185185185,0.48148148148148145,6.27,2.2777777777777777
202109121369,1.0,0,0.6666666666666666,0.5185185185185185,7.43,2.7537037037037035
202109130055,0.0,0,0.5769230769230769,0.5384615384615384,6.7299999999999995,2.5953846153846154
202109130077,0.0,0,0.8863636363636364,0.5681818181818182,8.77,1.9393181818181817
202109160065,0.0,0,1.0,0.8787878787878788,4.45,1.2993939393939395
202109160065,1.0,0,0.6363636363636364,0.45454545454545453,7.23,2.188181818181818
202109190076,0.0,0,0.5833333333333334,0.08333333333333333,8.89,2.3794444444444443
202109190076,1.0,0,0.1388888888888889,0.3611111111111111,8.13,2.2222222222222223
202109190362,0.0,0,0.8,0.08,8.35,3.2127999999999997
202109190362,1.0,0,0.52,0.52,9.18,3.6812
202109190555,0.0,0,0.825,0.325,5.67,1.36575
202109190555,1.0,0,1.0,0.2,5.96,1.4629999999999999
202109190595,0.0,0,0.9473684210526315,0.5526315789473685,9.16,2.339736842105263
202109190595,1.0,0,0.8947368421052632,0.42105263157894735,9.39,2.4194736842105264
202109190676,0.0,0,0.8,0.4,8.04,2.2305714285714284
202109190676,1.0,0,1.0,0.02857142857142857,5.09,1.4457142857142857
202109190798,0.0,0,0.5862068965517241,0.27586206896551724,9.8,3.2182758620689653
202109190798,1.0,0,0.6896551724137931,0.0,10.79,3.5655172413793106
202109190862,0.0,0,0.7727272727272727,0.9545454545454546,6.55,2.8709090909090906
202109190862,1.0,0,0.5454545454545454,0.36363636363636365,7.61,3.316818181818182
202109190975,0.0,0,0.868421052631579,0.4473684210526316,9.56,2.4839473684210525
202109191054,0.0,0,0.775,0.4,10.05,2.53575
202109191054,1.0,0,1.0,0.2,9.59,2.2915
202109191276,0.0,0,0.4074074074074074,0.7777777777777778,7.65,2.8251851851851852
202109191276,1.0,0,0.5185185185185185,0.5925925925925926,7.14,2.5703703703703704
202109191377,0.0,0,0.6756756756756757,0.0,2.38,0.5721621621621622
202109191377,1.0,0,0.7837837837837838,0.24324324324324326,3.44,0.9002702702702703
202109191399,0.0,0,0.5,0.4,10.03,3.158666666666667
202109191399,1.0,0,0.5,0.1,8.82,2.7849999999999997
202109200076,0.0,0,0.46153846153846156,0.6923076923076923,7.23,2.803076923076923
202109200076,1.0,0,0.4230769230769231,0.5769230769230769,9.59,3.670384615384615
202109230054,0.0,0,0.7083333333333334,0.4583333333333333,5.1,2.085
202109230054,1.0,0,1.0,0.2916666666666667,2.95,1.21125
